Channel Number,Channel Name,Port,Enabled,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Series RC equivalent R (Ohms),Series RC equivalent C (Farads)
A-000,A-000,Port A,1,2.54e+05,-73,7.39e+04,6.55e-10
A-001,A-001,Port A,1,1.47e+05,-82,2.13e+04,1.10e-09
A-002,A-002,Port A,1,2.48e+05,-79,4.70e+04,6.54e-10
A-003,A-003,Port A,1,1.52e+05,-83,1.90e+04,1.06e-09
A-004,A-004,Port A,1,1.73e+04,-79,3.22e+03,9.35e-09
A-005,A-005,Port A,1,1.50e+05,-82,2.07e+04,1.07e-09
A-006,A-006,Port A,1,2.33e+04,-77,5.14e+03,7.02e-09
A-007,A-007,Port A,1,1.45e+05,-78,2.99e+04,1.12e-09
A-008,A-008,Port A,1,5.63e+05,-93,-2.81e+04,2.83e-10
A-009,A-009,Port A,1,6.14e+05,-80,1.10e+05,2.63e-10
A-010,A-010,Port A,1,2.63e+05,-73,7.64e+04,6.31e-10
A-011,A-011,Port A,1,1.70e+05,-70,5.93e+04,9.97e-10
A-012,A-012,Port A,1,1.74e+05,-77,3.92e+04,9.39e-10
A-013,A-013,Port A,1,1.36e+05,-76,3.36e+04,1.21e-09
A-014,A-014,Port A,1,2.75e+05,-70,9.26e+04,6.15e-10
A-015,A-015,Port A,1,1.52e+05,-75,4.01e+04,1.08e-09
A-016,A-016,Port A,1,2.47e+05,-76,5.80e+04,6.62e-10
A-017,A-017,Port A,1,2.92e+05,-77,6.69e+04,5.60e-10
A-018,A-018,Port A,1,2.73e+05,-74,7.35e+04,6.04e-10
A-019,A-019,Port A,1,1.58e+05,-82,2.11e+04,1.02e-09
A-020,A-020,Port A,1,1.71e+04,-79,3.37e+03,9.51e-09
A-021,A-021,Port A,1,1.67e+05,-77,3.86e+04,9.79e-10
A-022,A-022,Port A,1,1.31e+04,-68,4.84e+03,1.31e-08
A-023,A-023,Port A,1,1.56e+05,-74,4.42e+04,1.06e-09
A-024,A-024,Port A,1,6.64e+05,-76,1.60e+05,2.47e-10
A-025,A-025,Port A,1,3.50e+05,-66,1.40e+05,4.96e-10
A-026,A-026,Port A,1,1.53e+05,-75,4.05e+04,1.08e-09
A-027,A-027,Port A,1,1.57e+05,-74,4.22e+04,1.05e-09
A-028,A-028,Port A,1,1.86e+05,-74,5.26e+04,8.92e-10
A-029,A-029,Port A,1,1.61e+05,-73,4.65e+04,1.03e-09
A-030,A-030,Port A,1,2.46e+05,-68,9.07e+04,6.96e-10
A-031,A-031,Port A,1,1.40e+05,-71,4.64e+04,1.20e-09
